,id,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23
1,1,1 to 5 years,Magazine industry,Large (500+),Outside North America,Direct to customer,8.5,3.9,2.5,5.9,4.8,4.9,6,6.8,4.7,4.3,5,5.1,3.7,8.2,8,8.4,65.1,"Yes, would consider"
2,2,Over 5 years,Newsprint industry,Small (0 to 499),USA/North America,Indirect through broker,8.2,2.7,5.1,7.2,3.4,7.9,3.1,5.3,5.5,4,3.9,4.3,4.9,5.7,6.5,7.5,67.1,"No, would not consider"
3,3,Over 5 years,Magazine industry,Large (500+),Outside North America,Direct to customer,9.2,3.4,5.6,5.6,5.4,7.4,5.8,4.5,6.2,4.6,5.4,4,4.5,8.9,8.4,9,72.1,"Yes, would consider"
4,4,Less than 1 year,Newsprint industry,Large (500+),Outside North America,Indirect through broker,6.4,3.3,7,3.7,4.7,4.7,4.5,8.8,7,3.6,4.3,4.1,3,4.8,6,7.2,40.1,"No, would not consider"
5,5,1 to 5 years,Magazine industry,Large (500+),USA/North America,Direct to customer,9,3.4,5.2,4.6,2.2,6,4.5,6.8,6.1,4.5,4.5,3.5,3.5,7.1,6.6,9,57.1,"No, would not consider"
6,6,Less than 1 year,Newsprint industry,Small (0 to 499),Outside North America,Indirect through broker,6.5,2.8,3.1,4.1,4,4.3,3.7,8.5,5.1,9.5,3.6,4.7,3.3,4.7,6.3,6.1,50.1,"No, would not consider"
7,7,Less than 1 year,Newsprint industry,Large (500+),Outside North America,Indirect through broker,6.9,3.7,5,2.6,2.1,2.3,5.4,8.9,4.8,2.5,2.1,4.2,2,5.7,7.8,7.2,41.1,"No, would not consider"
8,8,1 to 5 years,Magazine industry,Large (500+),Outside North America,Indirect through broker,6.2,3.3,3.9,4.8,4.6,3.6,5.1,6.9,5.4,4.8,4.3,6.3,3.7,6.3,5.8,7.7,56.1,"No, would not consider"
9,9,1 to 5 years,Newsprint industry,Large (500+),Outside North America,Indirect through broker,5.8,3.6,5.1,6.7,3.7,5.9,5.8,9.3,5.9,4.4,4.4,6.1,4.6,7,7.5,8.2,56.1,"Yes, would consider"
10,10,Less than 1 year,Magazine industry,Large (500+),Outside North America,Indirect through broker,6.4,4.5,5.1,6.1,4.7,5.7,5.7,8.4,5.4,5.3,4.1,5.8,4.4,5.5,5.9,6.7,59.1,"No, would not consider"
11,11,Over 5 years,Magazine industry,Large (500+),USA/North America,Direct to customer,8.7,3.2,4.6,4.8,2.7,6.8,4.6,6.8,5.8,7.5,3.8,3.7,4,7.4,7,8.4,68.1,"No, would not consider"
12,12,Less than 1 year,Magazine industry,Large (500+),Outside North America,Indirect through broker,6.1,4.9,6.3,3.9,4.4,3.9,6.4,8.2,5.8,5.9,3,4.9,3.2,6,6.3,6.6,53.1,"No, would not consider"
13,13,Less than 1 year,Newsprint industry,Small (0 to 499),USA/North America,Direct to customer,9.5,5.6,4.6,6.9,5,6.9,6.6,7.6,6.5,5.3,5.1,4.5,4.4,8.4,8.4,7.9,58.1,"Yes, would consider"
14,14,Over 5 years,Newsprint industry,Small (0 to 499),USA/North America,Direct to customer,9.2,3.9,5.7,5.5,2.4,8.4,4.8,7.1,6.7,3,4.5,2.6,4.2,7.6,6.9,8.2,72.1,"Yes, would consider"
15,15,1 to 5 years,Magazine industry,Large (500+),Outside North America,Direct to customer,6.3,4.5,4.7,6.9,4.5,6.8,5.9,8.8,6,5.4,4.8,6.2,5.2,8,7,7.6,62.1,"Yes, would consider"
16,16,Over 5 years,Magazine industry,Small (0 to 499),USA/North America,Indirect through broker,8.7,3.2,4,6.8,3.2,7.8,3.8,4.9,6.1,5,4.3,3.9,4.5,6.6,6.4,7.1,71.1,"No, would not consider"
